Site Id,School Name,Site Name,Protocol,Data Count,Latitude,Longitude,Elevation
366459,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,12TWK192503,Land Covers,1.0,40.20288,-110.7744,1974.7
366457,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,12TXK192720,Land Covers,1.0,40.39008,-109.59556,1652.7
367171,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SBD965135,Land Covers,1.0,38.94684,-107.34821,1986.9
367204,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCC335990,Land Covers,1.0,38.82406,-106.918,2656.2
367190,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCC390854,Land Covers,1.0,38.70259,-106.8515,2480.3
367189,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCC393895,Land Covers,1.0,38.73957,-106.84901,2531.7
367206,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCC402819,Land Covers,1.0,38.67128,-106.8369,2457.0
367211,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCC463879,Land Covers,1.0,38.7264,-106.76815,2553.7
367212,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCC487885,Land Covers,1.0,38.73222,-106.74068,2581.9
367191,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCC556917,Land Covers,1.0,38.7622,-106.662,2692.1
366977,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCC603977,Land Covers,1.0,38.81701,-106.60914,2832.0
367213,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCC608978,Land Covers,1.0,38.81799,-106.6034,2869.5
367187,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCC776985,Land Covers,1.0,38.82679,-106.41007,3716.5
367180,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCC776986,Land Covers,1.0,38.82769,-106.41009,3700.7
367176,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCC932966,Land Covers,1.0,38.8117,-106.2301,2647.6
367177,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD010112,Land Covers,1.0,38.92717,-107.29566,2353.6
367172,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD024335,Land Covers,1.0,39.12828,-107.28598,2666.5
367173,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD032324,Land Covers,1.0,39.11855,-107.27641,2516.1
367178,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD063091,Land Covers,1.0,38.90944,-107.23397,2645.5
367158,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD101012,Land Covers,1.0,38.83914,-107.18799,3035.9
367157,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD101013,Land Covers,1.0,38.84004,-107.18802,3055.0
367156,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD103015,Land Covers,1.0,38.84188,-107.18577,3062.3
367155,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD103020,Land Covers,1.0,38.84638,-107.18591,2993.7
367163,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD104021,Land Covers,2.0,38.8473,-107.18478,2966.8
367164,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD105061,Land Covers,2.0,38.88335,-107.18473,2741.4
367162,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD109025,Land Covers,2.0,38.85101,-107.17914,2918.6
